Datum;Dax30;Dax30lag;S&P500;S&P500lag
26.05.1999;0,336061575;-1,675939373;1,599389666;-3,447079867
27.05.1999;-2,291494633;0,336061575;-1,776362016;1,599389666
28.05.1999;0,131705997;-2,291494633;1,59456791;-1,776362016
01.06.1999;-1,188527661;0,131705997;-0,579101288;1,59456791
02.06.1999;0,591333364;-1,188527661;0,063072639;-0,579101288
04.06.1999;1,662387855;0,591333364;2,546924165;0,063072639
07.06.1999;1,731611025;1,662387855;0,513900167;2,546924165
08.06.1999;-0,305590405;1,731611025;-1,284818183;0,513900167
09.06.1999;1,033302354;-0,305590405;0,106896787;-1,284818183
10.06.1999;-0,935887693;1,033302354;-1,198807187;0,106896787
11.06.1999;1,817171618;-0,935887693;-0,682623381;-1,198807187
14.06.1999;-0,084780807;1,817171618;0,029693915;-0,682623381
15.06.1999;1,009161829;-0,084780807;0,55383916;0,029693915
16.06.1999;0,706278111;1,009161829;2,251457664;0,55383916
17.06.1999;0,610106137;0,706278111;0,71799463;2,251457664
18.06.1999;-1,446216515;0,610106137;0,219716138;0,71799463
21.06.1999;2,459721314;-1,446216515;0,460533986;0,219716138
22.06.1999;0,00365733;2,459721314;-0,972379118;0,460533986
23.06.1999;-1,271972893;0,00365733;-0,209857497;-0,972379118
24.06.1999;-1,324477553;-1,271972893;-1,296092733;-0,209857497
25.06.1999;-0,495344996;-1,324477553;-0,03547298;-1,296092733
28.06.1999;1,051458063;-0,495344996;1,233429408;-0,03547298
29.06.1999;0,048161734;1,051458063;1,510694526;1,233429408
30.06.1999;0,354322114;0,048161734;1,580278266;1,510694526
01.07.1999;1,890854733;0,354322114;0,605610771;1,580278266
02.07.1999;0,708548197;1,890854733;0,742949841;0,605610771
06.07.1999;1,700473813;0,708548197;-0,211757371;0,742949841
07.07.1999;-0,434712894;1,700473813;0,578669009;-0,211757371
08.07.1999;0,33282634;-0,434712894;-0,096902625;0,578669009
09.07.1999;0,568029819;0,33282634;0,635406492;-0,096902625
12.07.1999;0,231780739;0,568029819;-0,297748986;0,635406492
13.07.1999;-1,383576137;0,231780739;-0,391861365;-0,297748986
14.07.1999;0,665073504;-1,383576137;0,33323051;-0,391861365
15.07.1999;0,149174195;0,665073504;0,819276982;0,33323051
16.07.1999;0,012101238;0,149174195;0,650811193;0,819276982
19.07.1999;0,085410165;0,012101238;-0,783765931;0,650811193
20.07.1999;-2,372554109;0,085410165;-2,170084656;-0,783765931
21.07.1999;-1,404405886;-2,372554109;0,164405145;-2,170084656
22.07.1999;-1,35311599;-1,404405886;-1,32670291;0,164405145
23.07.1999;-0,566944584;-1,35311599;-0,296107314;-1,32670291
26.07.1999;-1,961914123;-0,566944584;-0,676502657;-0,296107314
27.07.1999;0,340347723;-1,961914123;1,118912827;-0,676502657
28.07.1999;0,1033659;0,340347723;0,196472401;1,118912827
29.07.1999;-3,389195267;0,1033659;-1,768210329;0,196472401
30.07.1999;0,980737562;-3,389195267;-0,917430693;-1,768210329
02.08.1999;0,541566132;0,980737562;-0,050105023;-0,917430693
03.08.1999;-0,425382591;0,541566132;-0,438735026;-0,050105023
04.08.1999;0,228871033;-0,425382591;-1,25960525;-0,438735026
05.08.1999;-2,752682459;0,228871033;0,649479683;-1,25960525
06.08.1999;0,643172072;-2,752682459;-1,003720573;0,649479683
09.08.1999;1,533389083;0,643172072;-0,19004956;-1,003720573
10.08.1999;-1,698936568;1,533389083;-1,258021286;-0,19004956
11.08.1999;0,376334518;-1,698936568;1,62592172;-1,258021286
12.08.1999;2,146347683;0,376334518;-0,286114607;1,62592172
13.08.1999;1,794271204;2,146347683;2,27782181;-0,286114607
16.08.1999;0,721726319;1,794271204;0,235611812;2,27782181
17.08.1999;0,053451523;0,721726319;1,006952427;0,235611812
18.08.1999;-0,559705394;0,053451523;-0,83221023;1,006952427
19.08.1999;-0,833959472;-0,559705394;-0,689212795;-0,83221023
20.08.1999;1,297319182;-0,833959472;0,983850337;-0,689212795
23.08.1999;0,910520085;1,297319182;1,767517872;0,983850337
24.08.1999;0,41569376;0,910520085;0,241737764;1,767517872
25.08.1999;1,433127599;0,41569376;1,348517947;0,241737764
26.08.1999;-0,203321285;1,433127599;-1,430423495;1,348517947
27.08.1999;0,575580683;-0,203321285;-1,000702115;-1,430423495
30.08.1999;-0,513434532;0,575580683;-1,786944967;-1,000702115
31.08.1999;-2,257938296;-0,513434532;-0,27153781;-1,786944967
01.09.1999;0,879378155;-2,257938296;0,829820704;-0,27153781
02.09.1999;-2,392272508;0,879378155;-0,897270528;0,829820704
03.09.1999;2,818925918;-2,392272508;2,894020514;-0,897270528
07.09.1999;1,033315718;2,818925918;-0,491358224;2,894020514
